# Broken Arrow Realism Overhaul - visée des mitrailleuses et lance-grenades par affût, pareil pour les deux camps. OEIL = tireur qui vise à l'oeil sur un affût ouvert (tourelleau, anneau, pivot, portière d'hélicoptère). LUNETTE = lunette simple ou trépied stable. Les affûts à caméra (tourelleaux téléopérés, coaxiales, canons d'hélicoptères d'attaque) et les véhicules à vérifier ne sont pas listés : portée inchangée. TurretId vide = toutes les tourelles de l'unité. Portées dans AffutsPortees.csv. Fichier généré.
Option;UnitId;WeaponId;TurretId;Classe;UnitName;WeaponName
OPTION_VISEE_OEIL;251;18;;OEIL;Patriot PAC-3;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;448;18;;OEIL;Patriot PAC-3 MSE;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;11;18;;OEIL;M142 HIMARS;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;185;18;;OEIL;M113A3;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;430;18;;OEIL;BALT M113;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;502;18;;OEIL;DLC2 M113;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;510;18;;OEIL;DLC2 M113 Panzermorser;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;189;18;;OEIL;M1064A3;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;246;18;;OEIL;M548A3 ;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;375;18;;OEIL;LAV-L;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;396;18;;OEIL;BALT XA-180;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;501;18;;OEIL;DLC2 XA-180;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;499;18;;OEIL;DLC2 Spartan;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;182;18;;OEIL;M551A1 Sheridan;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;183;18;;OEIL;M8 AGS;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;453;18;;OEIL;M10 Booker;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;162;18;;OEIL;M109A7 Paladin;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;247;18;;OEIL;M109A6 Paladin;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;429;18;;OEIL;BALT M109A5Ö ;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;511;18;;OEIL;DLC2 M109A5O;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;539;18;;OEIL;DLC2 K9EST ;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;47;21;;OEIL;Humvee;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;48;21;;OEIL;Humvee GMV;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;51;21;;OEIL;Humvee LRAS3;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;82;21;;OEIL;M1301 ISV;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;99;21;;OEIL;IFAV;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;433;21;;OEIL;BALT G-Wagen;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;52;21;;OEIL;LMTV;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;84;21;;OEIL;MTVR;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;164;21;;OEIL;LVSR;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;241;21;;OEIL;M1075A1 PLS;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;242;21;;OEIL;HEMTT;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;390;21;;OEIL;MTV;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;421;21;;OEIL;M985 Battleship;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;163;21;;OEIL;Patriot PAC-2;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;251;21;;OEIL;Patriot PAC-3;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;448;21;;OEIL;Patriot PAC-3 MSE;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;11;21;;OEIL;M142 HIMARS;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;185;21;;OEIL;M113A3;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;189;21;;OEIL;M1064A3;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;246;21;;OEIL;M548A3 ;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;375;21;;OEIL;LAV-L;AGL 40  Mk19 (vehicles)
OPTION_VISEE_OEIL;6;27;;OEIL;Humvee TOW-2;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;47;27;;OEIL;Humvee;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;48;27;;OEIL;Humvee GMV;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;51;27;;OEIL;Humvee LRAS3;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;82;27;;OEIL;M1301 ISV;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;52;27;;OEIL;LMTV;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;84;27;;OEIL;MTVR;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;164;27;;OEIL;LVSR;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;241;27;;OEIL;M1075A1 PLS;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;242;27;;OEIL;HEMTT;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;390;27;;OEIL;MTV;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;392;27;;OEIL;LMTV War Pig;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;421;27;;OEIL;M985 Battleship;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;163;27;;OEIL;Patriot PAC-2;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;251;27;;OEIL;Patriot PAC-3;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;448;27;;OEIL;Patriot PAC-3 MSE;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;11;27;;OEIL;M142 HIMARS;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;5;27;;OEIL;Stryker MC;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;30;27;;OEIL;LAV-AT;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;154;27;;OEIL;LAV-M;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;186;27;;OEIL;M981 FISTV;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;187;27;;OEIL;M901A3;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;189;27;;OEIL;M1064A3;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;246;27;;OEIL;M548A3 ;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;375;27;;OEIL;LAV-L;MMG 7.62 M240 (Vehicles)
OPTION_VISEE_OEIL;510;708;;OEIL;DLC2 M113 Panzermorser;MMG 7.62 MG3 Vehicles
OPTION_VISEE_OEIL;540;708;;OEIL;DLC2 PzH-2000;MMG 7.62 MG3 Vehicles
OPTION_VISEE_OEIL;499;713;;OEIL;DLC2 Spartan;MMG 7.62 FNMAG (Vehicles)
OPTION_VISEE_OEIL;505;713;;OEIL;DLC2 Rover Defender;MMG 7.62 FNMAG (Vehicles)
OPTION_VISEE_OEIL;509;713;;OEIL;DLC2 TGB-1111;MMG 7.62 FNMAG (Vehicles)
OPTION_VISEE_OEIL;504;713;;OEIL;DLC2 E13TP;MMG 7.62 FNMAG (Vehicles)
OPTION_VISEE_OEIL;48;115;;OEIL;Humvee GMV;Minigun 7.62 M134
OPTION_VISEE_OEIL;49;368;;OEIL;Flyer GMV;Minigun 12.7 GAU19B
OPTION_VISEE_OEIL;152;239;;OEIL;Sarmat-2;Minigun 7.62 GShG
OPTION_VISEE_OEIL;167;239;;OEIL;DLC3 Chaborz M-6;Minigun 7.62 GShG
OPTION_VISEE_OEIL;167;240;;OEIL;DLC3 Chaborz M-6;MMG 7.62 PKP vehicles
OPTION_VISEE_OEIL;194;240;;OEIL;DLC3 Tigr;MMG 7.62 PKP vehicles
OPTION_VISEE_OEIL;455;240;;OEIL;UAZ Kozlik;MMG 7.62 PKP vehicles
OPTION_VISEE_OEIL;202;240;;OEIL;MT-LB Strela;MMG 7.62 PKP vehicles
OPTION_VISEE_OEIL;458;240;;OEIL;1V14 Mashina-S;MMG 7.62 PKP vehicles
OPTION_VISEE_OEIL;455;662;;OEIL;UAZ Kozlik;HMG KPVT UAZ
OPTION_VISEE_OEIL;9;97;;OEIL;T-72B;HMG Kord
OPTION_VISEE_OEIL;157;97;;OEIL;T-72B3;HMG Kord
OPTION_VISEE_OEIL;703;97;;OEIL;T-72B3A;HMG Kord
OPTION_VISEE_OEIL;158;97;;OEIL;T-80BV;HMG Kord
OPTION_VISEE_OEIL;602;97;;OEIL;DLC3 T-62M;HMG Kord
OPTION_VISEE_OEIL;615;97;;OEIL;DLC3 T-72A;HMG Kord
OPTION_VISEE_OEIL;141;97;;OEIL;BTR-D;HMG Kord
OPTION_VISEE_OEIL;152;97;;OEIL;Sarmat-2;HMG Kord
OPTION_VISEE_OEIL;167;97;;OEIL;DLC3 Chaborz M-6;HMG Kord
OPTION_VISEE_OEIL;239;97;;OEIL;T-80U;HMG Kord
OPTION_VISEE_OEIL;199;97;;OEIL;MT-LB;HMG Kord
OPTION_VISEE_OEIL;236;268;;OEIL;T-90;HMG Kord RWS
OPTION_VISEE_OEIL;479;268;;OEIL;T-90AK Batalin;HMG Kord RWS
OPTION_VISEE_OEIL;499;734;;OEIL;DLC2 Spartan;AGL 40  GMG
OPTION_VISEE_OEIL;501;734;;OEIL;DLC2 XA-180;AGL 40  GMG
OPTION_VISEE_OEIL;502;734;;OEIL;DLC2 M113;AGL 40  GMG
OPTION_VISEE_OEIL;505;734;;OEIL;DLC2 Rover Defender;AGL 40  GMG
OPTION_VISEE_OEIL;510;734;;OEIL;DLC2 M113 Panzermorser;AGL 40  GMG
OPTION_VISEE_OEIL;535;734;;OEIL;DLC2 HMMWV;AGL 40  GMG
OPTION_VISEE_OEIL;17;213;;OEIL;CH-47 Chinook;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;81;213;;OEIL;UH-60M Blackhawk;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;153;213;;OEIL;CH-53E Super Stallion;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;159;213;;OEIL;UH-1Y Venom;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;262;213;;OEIL;MH-60M SOAR;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;274;213;;OEIL;MH-47G SOAR;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;275;213;;OEIL;CH-53K King Stallion;Minigun 7.62 M134 Helicopter
OPTION_VISEE_OEIL;17;227;;OEIL;CH-47 Chinook;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;80;227;;OEIL;MV-22B Osprey;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;81;227;;OEIL;UH-60M Blackhawk;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;153;227;;OEIL;CH-53E Super Stallion;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;159;227;;OEIL;UH-1Y Venom;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;259;227;;OEIL;CV-22B Osprey;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;262;227;;OEIL;MH-60M SOAR;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;274;227;;OEIL;MH-47G SOAR;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;275;227;;OEIL;CH-53K King Stallion;HMG 12.7 GAU21 Helicopter
OPTION_VISEE_OEIL;17;251;;OEIL;CH-47 Chinook;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;81;251;;OEIL;UH-60M Blackhawk;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;153;251;;OEIL;CH-53E Super Stallion;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;159;251;;OEIL;UH-1Y Venom;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;262;251;;OEIL;MH-60M SOAR;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;274;251;;OEIL;MH-47G SOAR;MMG 7.62 M240 Heli
OPTION_VISEE_OEIL;275;228;;OEIL;CH-53K King Stallion;MMG 7.62 M240 Helicopter
OPTION_VISEE_OEIL;428;720;;OEIL;BALT UH-60M;MMG 7.62 FNMAG Heli
OPTION_VISEE_OEIL;531;720;;OEIL;DLC2 UH-60M;MMG 7.62 FNMAG Heli
OPTION_VISEE_OEIL;531;775;;OEIL;DLC2 UH-60M;AGL 40  GMG Heli
OPTION_VISEE_OEIL;266;353;;OEIL;Mi-8MTV-2 Pchela;HMG A12.7 Helicopter
OPTION_VISEE_OEIL;143;948;1239;OEIL;DLC3 Mi-8AMTSh-VN;HMG Kord Helicopter
OPTION_VISEE_LUNETTE;425;7;362;LUNETTE;BTR-80;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;425;249;;LUNETTE;BTR-80;HMG KPVT
OPTION_VISEE_LUNETTE;199;249;;LUNETTE;MT-LB;HMG KPVT
OPTION_VISEE_LUNETTE;173;249;;LUNETTE;BRDM-2M;HMG KPVT
OPTION_VISEE_LUNETTE;199;7;316;LUNETTE;MT-LB;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;173;7;250;LUNETTE;BRDM-2M;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;200;7;320;LUNETTE;MT-LB SPAAG;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;203;7;;LUNETTE;MT-LB Mortar;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;204;7;;LUNETTE;BTO;MMG 7.62 PKT (vehicles)
OPTION_VISEE_LUNETTE;147;206;;LUNETTE;CAAT TOW-2A;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;148;206;;LUNETTE;M2 HMG team;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;320;206;;LUNETTE;CAAT Dragon;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;343;206;;LUNETTE;CAAT TOW-2B Saber;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;408;206;;LUNETTE;CAAT Javelin;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;441;206;;LUNETTE;BALT M2 HMG team;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;533;206;;LUNETTE;DLC2 M2 HMG;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;544;206;;LUNETTE;DLC2 HMG GMG;HMG M2 Browning 12.7 Infantry
OPTION_VISEE_LUNETTE;148;207;;LUNETTE;M2 HMG team;HMG M2 Browning 12.7 Infantry Team2
OPTION_VISEE_LUNETTE;533;207;;LUNETTE;DLC2 M2 HMG;HMG M2 Browning 12.7 Infantry Team2
OPTION_VISEE_LUNETTE;400;145;;LUNETTE;Pulemetchiki Kord;HMG Kord (Infantry)
OPTION_VISEE_LUNETTE;454;145;;LUNETTE;VDV Metis-M1;HMG Kord (Infantry)
OPTION_VISEE_LUNETTE;624;145;;LUNETTE;DLC3 Kord ;HMG Kord (Infantry)
OPTION_VISEE_LUNETTE;400;174;;LUNETTE;Pulemetchiki Kord;HMG Kord (Infantry) Team 2
OPTION_VISEE_LUNETTE;624;174;;LUNETTE;DLC3 Kord ;HMG Kord (Infantry) Team 2
OPTION_VISEE_LUNETTE;625;959;;LUNETTE;DLC3 KPVT;HMG KPVT Infantry
