# Broken Arrow Realism Overhaul - vraies stats : détection des capteurs, valable pour les deux camps. Lignes sans option : détection aérienne des défenses antiaériennes (radars) et des équipes sol-air. Lignes 8/27/36 = batteries SAM longue portée (radars réels bien au-delà de 9 km). Lignes 7/18 = DCA courte portée et canons DCA : hélicoptères (basse altitude) à 6 km, avions (haute altitude) à 6 km. Lignes 41/42 = équipes sol-air (Stinger, Igla, Verba, Piorun, Grom, RBS 70) : optique anti-aérienne 5 km ; la ligne 43 est partagée avec des forces spéciales, elle est traitée par unité dans CapteursParUnite.csv. Les optiques des hélicoptères et les exceptions par unité sont dans CapteursParUnite.csv. Fichier généré.
Option;Id;Name;OpticsGround;OpticsLowAltitude;OpticsHighAltitude
OPTION_VUE_AIR_REELLE;4;Bad Optics;;3000;5000
OPTION_VUE_AIR_REELLE;5;Exceptional Optics;;3000;5000
OPTION_VUE_AIR_REELLE;10;Optics Arleigh Solo;;9000;9000
OPTION_VUE_AIR_REELLE;12;Good Optics MH6;;3000;5000
OPTION_VUE_AIR_REELLE;13;Good Optics NonDefault;;3000;5000
OPTION_VUE_AIR_REELLE;14;Very Good Optics NonDefault;;3000;5000
OPTION_VUE_AIR_REELLE;15;Exceptional Optics NonDefault;;3000;5000
OPTION_VUE_AIR_REELLE;17;Optics SHORAD +Med ND;;6000;6000
OPTION_VUE_AIR_REELLE;19;Optics SHORAD +Bad ND;;6000;6000
OPTION_VUE_AIR_REELLE;20;Exceptional Optics Model Radar;;3000;5000
OPTION_VUE_AIR_REELLE;22;Exceptional Optics NonDefault Model;;3000;5000
OPTION_VUE_AIR_REELLE;23;Medium Plus Optics;;3000;5000
OPTION_VUE_AIR_REELLE;25;Blind Optics;;1500;1500
OPTION_VUE_AIR_REELLE;26;Very Good Optics NonDefault Model;;3000;5000
OPTION_VUE_AIR_REELLE;28;Medium Plus Optics NonDefault;;3000;5000
OPTION_VUE_AIR_REELLE;29;Medium Plus Optics Model;;3000;5000
OPTION_VUE_AIR_REELLE;31;Medium Plus Optics SprutHelper;;3000;5000
OPTION_VUE_AIR_REELLE;35;Optics Carrier Solo;;9000;9000
OPTION_VUE_AIR_REELLE;43;Good Optics Manpad;;3000;5000
