# Broken Arrow Realism Overhaul - vraies stats (données v1). Fichier généré par le mod à chaque version : pour changer une valeur, utiliser les fichiers *_override.csv du dossier parent.
# Colonne Stealth (option OPTION_FURTIVITE_REELLE) : furtivité par silhouette réelle, identique pour les deux camps. Plus petit = repéré plus près. Le jeu ne distingue rien aujourd'hui : toute l'infanterie de ligne vaut 0.571 et presque tous les véhicules valent 1, quelle que soit leur taille.
# Infanterie, par rôle et par nombre réel d'hommes dans l'escouade (table SquadMembers) : tireurs d'élite 0.30 ; reco 2-3 h 0.33, 4-5 h 0.38, 6 h et plus 0.45 ; forces spéciales 3-4 h 0.33, 5-9 h 0.45, 10 h et plus 0.60 ; équipes AT et sol-air 4 h 0.40, 5-6 h 0.48, 7 h et plus 0.55 ; infanterie de ligne et d'assaut 1-3 h 0.40, 4-5 h 0.50, 6-8 h 0.60, 9 h et plus 0.70. Une équipe AT de 4 hommes devient donc bien plus discrète qu'une escouade de 14.
# Véhicules terrestres, par masse réelle : moins de 3 t 0.70 ; 3-8 t 0.80 ; 8-15 t 0.90 ; 15-25 t 1.00 ; 25-35 t 1.05 ; 35-50 t 1.10 ; 50-60 t 1.15 ; 60 t et plus 1.20. Corrections : 4x4 non blindé de moins de 8 t au plus 0.80 ; camion et logistique +0.10 (au plus 1.30, caisse haute et poussière) ; batterie SAM longue portée +0.05 (au plus 1.20, mâts et lanceurs dressés). Un Abrams de 64 t vaut 1.20, un BMP de 19 t vaut 1.00, un Humvee de 4 t vaut 0.80.
# Jamais touché : hélicoptères, avions, navires, rôle None, et toute ligne que le jeu a déjà réglée à la main hors de sa valeur par défaut quand notre barème la ramènerait vers la valeur neutre (chars à 0.8 ou 1.25, LSV à 0.666, IL-76 posé à 2). Options.StealthOverride n'est jamais écrit (0 = pas de remplacement sur 2026 lignes sur 2046).
# Garde-fous du moteur, inchangés : MinimumDetectionDistance 45 m (sous 45 m tout est vu), MaxAntiVisible 1.5 (plafond après furtivité x couvert x signature de tir). Les réglages FurtiviteReco et FurtiviteVehicules restent des multiplicateurs appliqués par-dessus ces valeurs. Fichier généré.
Option;Id;Name;Cost;Stealth
OPTION_FURTIVITE_REELLE;57;Mech. Riflemen;;0.60
OPTION_FURTIVITE_REELLE;59;Marines;;0.70
OPTION_FURTIVITE_REELLE;60;Motopekhota;;0.60
OPTION_FURTIVITE_REELLE;61;Force Recon;;0.45
OPTION_FURTIVITE_REELLE;62;Troopers AT;;0.55
OPTION_FURTIVITE_REELLE;63;Assaultmen SMAW;;0.60
OPTION_FURTIVITE_REELLE;64;Airborne 2;;0.70
OPTION_FURTIVITE_REELLE;65;Cavalry Scouts;;0.33
OPTION_FURTIVITE_REELLE;66;Weapons Squad;;0.70
OPTION_FURTIVITE_REELLE;68;Scout Snipers;;0.30
OPTION_FURTIVITE_REELLE;69;Stinger team;;0.40
OPTION_FURTIVITE_REELLE;70;Marine Raiders CQC;;0.60
OPTION_FURTIVITE_REELLE;72;Rangers;;0.70
OPTION_FURTIVITE_REELLE;73;Rangers Stinger;;0.48
OPTION_FURTIVITE_REELLE;74;Rangers RAWS;;0.60
OPTION_FURTIVITE_REELLE;75;Rangers Mk47 AGL;;0.60
OPTION_FURTIVITE_REELLE;76;Rangers Snipers;;0.30
OPTION_FURTIVITE_REELLE;77;Rangers RRC;;0.45
OPTION_FURTIVITE_REELLE;82;M1301 ISV;;0.80
OPTION_FURTIVITE_REELLE;89;BMD-4M;;0.90
OPTION_FURTIVITE_REELLE;90;BMD-2;;0.90
OPTION_FURTIVITE_REELLE;91;A222 Bereg;;1.10
OPTION_FURTIVITE_REELLE;92;9K51 Grad;;0.90
OPTION_FURTIVITE_REELLE;93;9K58 Smerch;;1.10
OPTION_FURTIVITE_REELLE;98;2S4 Tulpan;;1.05
OPTION_FURTIVITE_REELLE;108;VDV DSh;;0.50
OPTION_FURTIVITE_REELLE;109;VDV Igla;;0.48
OPTION_FURTIVITE_REELLE;110;VDV Kornet;;0.48
OPTION_FURTIVITE_REELLE;111;Desantniki;;0.70
OPTION_FURTIVITE_REELLE;112;VDV AGS-30;;0.50
OPTION_FURTIVITE_REELLE;113;Chernye Berety RShG;;0.70
OPTION_FURTIVITE_REELLE;114;VDV Razvedka;;0.38
OPTION_FURTIVITE_REELLE;115;VDV Snaipery;;0.30
OPTION_FURTIVITE_REELLE;116;VDV Spetsnaz;;0.38
OPTION_FURTIVITE_REELLE;117;Ingenery-Shturmoviki;;0.60
OPTION_FURTIVITE_REELLE;118;Reservisty;;0.60
OPTION_FURTIVITE_REELLE;119;SPG-9 Sapog;;0.50
OPTION_FURTIVITE_REELLE;120;PZRK Igla;;0.40
OPTION_FURTIVITE_REELLE;121;PTRK Konkurs;;0.40
OPTION_FURTIVITE_REELLE;122;Ognemetchiki;;0.50
OPTION_FURTIVITE_REELLE;123;Razvedka;;0.45
OPTION_FURTIVITE_REELLE;124;Snaipery;;0.30
OPTION_FURTIVITE_REELLE;125;Spetsnaz GRU Mix;;0.45
OPTION_FURTIVITE_REELLE;126;Morskaya pekhota ;;0.60
OPTION_FURTIVITE_REELLE;127;RPG-29 Vampyr;;0.60
OPTION_FURTIVITE_REELLE;128;PTRK Fagot;;0.55
OPTION_FURTIVITE_REELLE;129;DLC3 Rosgvardia;;0.60
OPTION_FURTIVITE_REELLE;130;SSO;;0.45
OPTION_FURTIVITE_REELLE;131;DLC3 Spetsnaz Alpha;;0.60
OPTION_FURTIVITE_REELLE;132;VDV Metis-M;;0.48
OPTION_FURTIVITE_REELLE;133;Gvardii Motostrelki;;0.60
OPTION_FURTIVITE_REELLE;134;PZRK Verba;;0.40
OPTION_FURTIVITE_REELLE;135;DLC3 Pogranichniki;;0.38
OPTION_FURTIVITE_REELLE;136;DLC3 Spetsnaz Vympel CQC;;0.45
OPTION_FURTIVITE_REELLE;137;DLC3 FSB Snaipery;;0.30
OPTION_FURTIVITE_REELLE;138;PDSS;;0.38
OPTION_FURTIVITE_REELLE;141;BTR-D;;0.90
OPTION_FURTIVITE_REELLE;142;BTR-MDM ;;0.90
OPTION_FURTIVITE_REELLE;146;Mech. Engineers;;0.60
OPTION_FURTIVITE_REELLE;147;CAAT TOW-2A;;0.55
OPTION_FURTIVITE_REELLE;148;M2 HMG team;;0.50
OPTION_FURTIVITE_REELLE;149;Mk19 AGL team ;;0.50
OPTION_FURTIVITE_REELLE;150;Delta Force;;0.60
OPTION_FURTIVITE_REELLE;151;Kornet-D1;;0.90
OPTION_FURTIVITE_REELLE;152;Sarmat-2;;0.70
OPTION_FURTIVITE_REELLE;154;LAV-M;;0.90
OPTION_FURTIVITE_REELLE;155;2S41 Drok;;0.90
OPTION_FURTIVITE_REELLE;156;S-300V4 Antey;;1.15
OPTION_FURTIVITE_REELLE;157;T-72B3;;1.10
OPTION_FURTIVITE_REELLE;158;T-80BV;;1.10
OPTION_FURTIVITE_REELLE;162;M109A7 Paladin;;1.10
OPTION_FURTIVITE_REELLE;163;Patriot PAC-2;;1.10
OPTION_FURTIVITE_REELLE;164;LVSR;;1.10
OPTION_FURTIVITE_REELLE;166;KamAZ VDV;;0.90
OPTION_FURTIVITE_REELLE;167;DLC3 Chaborz M-6;;0.70
OPTION_FURTIVITE_REELLE;172;BTR-RD Robot;;0.90
OPTION_FURTIVITE_REELLE;176;Fire team;;0.50
OPTION_FURTIVITE_REELLE;177;Green Berets;;0.38
OPTION_FURTIVITE_REELLE;180;ACV;;1.05
OPTION_FURTIVITE_REELLE;184;RSOV;;0.80
OPTION_FURTIVITE_REELLE;185;M113A3;;0.90
OPTION_FURTIVITE_REELLE;187;M901A3;;0.90
OPTION_FURTIVITE_REELLE;188;M163 PIVADS;;0.90
OPTION_FURTIVITE_REELLE;189;M1064A3;;0.90
OPTION_FURTIVITE_REELLE;190;M270A2 GMLRS;;1.05
OPTION_FURTIVITE_REELLE;191;M1A2 SEP v3;;1.20
OPTION_FURTIVITE_REELLE;192;Buk M3;;1.10
OPTION_FURTIVITE_REELLE;194;DLC3 Tigr;;0.80
OPTION_FURTIVITE_REELLE;195;DLC3 Tigr BRShM ;;0.90
OPTION_FURTIVITE_REELLE;196;DLC3 Tigr Gibka;;0.80
OPTION_FURTIVITE_REELLE;197;DLC3 Tigr Kornet;;0.80
OPTION_FURTIVITE_REELLE;198;TOS-1;;1.10
OPTION_FURTIVITE_REELLE;200;MT-LB SPAAG;;0.90
OPTION_FURTIVITE_REELLE;201;Shturm-S;;0.90
OPTION_FURTIVITE_REELLE;202;MT-LB Strela;;0.90
OPTION_FURTIVITE_REELLE;203;MT-LB Mortar;;0.90
OPTION_FURTIVITE_REELLE;204;BTO;;0.90
OPTION_FURTIVITE_REELLE;206;BTR-ZD Skrezhet;;0.90
OPTION_FURTIVITE_REELLE;207;2S9 Nona-S;;0.90
OPTION_FURTIVITE_REELLE;219;DLC3 BPM-97;;0.90
OPTION_FURTIVITE_REELLE;220;DLC3 BPM-97 Strela;;0.90
OPTION_FURTIVITE_REELLE;222;Ural-4320 ZU-23;;0.90
OPTION_FURTIVITE_REELLE;223;DLC3 9K512 Uragan-1M;;1.10
OPTION_FURTIVITE_REELLE;224;DLC3 TOS-2 Tosochka;;1.05
OPTION_FURTIVITE_REELLE;225;S-350 Vityaz;;1.10
OPTION_FURTIVITE_REELLE;226;9K720 Iskander;;1.10
OPTION_FURTIVITE_REELLE;227;DLC3 S-400 Triumph;;1.15
OPTION_FURTIVITE_REELLE;229;PTS-4 Duplo;;1.15
OPTION_FURTIVITE_REELLE;230;PT-76;;0.90
OPTION_FURTIVITE_REELLE;231;Buk M2;;1.10
OPTION_FURTIVITE_REELLE;232;2S35 Koalitsiya-SV;;1.10
OPTION_FURTIVITE_REELLE;233;2K22M Tunguska-M;;1.05
OPTION_FURTIVITE_REELLE;234;2S3M1 Akatsia;;1.05
OPTION_FURTIVITE_REELLE;235;BMO-T;;1.10
OPTION_FURTIVITE_REELLE;236;T-90;;1.10
OPTION_FURTIVITE_REELLE;238;T-90M;;1.10
OPTION_FURTIVITE_REELLE;239;T-80U;;1.10
OPTION_FURTIVITE_REELLE;240;BMPT Terminator;;1.10
OPTION_FURTIVITE_REELLE;241;M1075A1 PLS;;1.10
OPTION_FURTIVITE_REELLE;242;HEMTT;;1.10
OPTION_FURTIVITE_REELLE;243;M1A2 SEP v2;;1.20
OPTION_FURTIVITE_REELLE;244;M1A2 SEP;;1.20
OPTION_FURTIVITE_REELLE;245;M1A2 Abrams;;1.20
OPTION_FURTIVITE_REELLE;247;M109A6 Paladin;;1.05
OPTION_FURTIVITE_REELLE;250;Centurion C-RAM;;1.05
OPTION_FURTIVITE_REELLE;251;Patriot PAC-3;;1.10
OPTION_FURTIVITE_REELLE;252;BRDM ATGM;;0.80
OPTION_FURTIVITE_REELLE;253;K16 Bumerang;;1.05
OPTION_FURTIVITE_REELLE;254;B10 Kurganets;;1.05
OPTION_FURTIVITE_REELLE;255;T-15 Barbaris;;1.15
OPTION_FURTIVITE_REELLE;276;Pararescue;;0.45
OPTION_FURTIVITE_REELLE;277;Scouts;;0.45
OPTION_FURTIVITE_REELLE;278;Army Snipers;;0.30
OPTION_FURTIVITE_REELLE;320;CAAT Dragon;;0.55
OPTION_FURTIVITE_REELLE;332;Assaultmen SRAW;;0.60
OPTION_FURTIVITE_REELLE;333;Scout Snipers M107;;0.30
OPTION_FURTIVITE_REELLE;336;Force Recon CQC;;0.45
OPTION_FURTIVITE_REELLE;338;Rangers RRC 2;;0.45
OPTION_FURTIVITE_REELLE;339;Rangers Snipers AT;;0.30
OPTION_FURTIVITE_REELLE;340;Army Snipers 2;;0.30
OPTION_FURTIVITE_REELLE;341;Green Berets Snipers;;0.38
OPTION_FURTIVITE_REELLE;342;STT;;0.45
OPTION_FURTIVITE_REELLE;343;CAAT TOW-2B Saber;;0.55
OPTION_FURTIVITE_REELLE;344;DLC3 Spetsnaz Vympel StandOff;;0.45
OPTION_FURTIVITE_REELLE;345;DLC3 FSB Snaipery 2;;0.30
OPTION_FURTIVITE_REELLE;346;Spetsnaz GRU AT;;0.45
OPTION_FURTIVITE_REELLE;347;Snaipery 2;;0.30
OPTION_FURTIVITE_REELLE;348;VDV Snaipery 2;;0.30
OPTION_FURTIVITE_REELLE;349;VDV Spetsnaz 2;;0.38
OPTION_FURTIVITE_REELLE;350;Airborne Recce;;0.38
OPTION_FURTIVITE_REELLE;351;Airborne;;0.70
OPTION_FURTIVITE_REELLE;352;VDV Kornet-M;;0.48
OPTION_FURTIVITE_REELLE;353;AGS-40 Balkan;;0.50
OPTION_FURTIVITE_REELLE;354;DLC3 Spetsnaz Alpha 2;;0.60
OPTION_FURTIVITE_REELLE;355;PTRK Faktoriya;;0.55
OPTION_FURTIVITE_REELLE;356;PZRK Igla-S;;0.40
OPTION_FURTIVITE_REELLE;357;PTRK Konkurs-M;;0.40
OPTION_FURTIVITE_REELLE;358;Ognemetchiki 2;;0.50
OPTION_FURTIVITE_REELLE;359;Marine Raiders AT;;0.60
OPTION_FURTIVITE_REELLE;366;Morskaya razvedka;;0.38
OPTION_FURTIVITE_REELLE;367;Spetsnaz VMF;;0.45
OPTION_FURTIVITE_REELLE;368;Spetsnaz VMF 2;;0.45
OPTION_FURTIVITE_REELLE;369;AGS-17 Plamya;;0.50
OPTION_FURTIVITE_REELLE;370;Mech. Riflemen MMG;;0.60
OPTION_FURTIVITE_REELLE;371;Mech. Riflemen AA;;0.55
OPTION_FURTIVITE_REELLE;372;Chernye Berety;;0.70
OPTION_FURTIVITE_REELLE;376;M270 MLRS;;1.05
OPTION_FURTIVITE_REELLE;381;DT-30PM Vityaz;;1.15
OPTION_FURTIVITE_REELLE;382;2S39 Magnolia;;1.10
OPTION_FURTIVITE_REELLE;385;PDSS 2;;0.38
OPTION_FURTIVITE_REELLE;386;M2A2 Bradley ESV;;1.05
OPTION_FURTIVITE_REELLE;387;M3A2 CFV;;1.05
OPTION_FURTIVITE_REELLE;388;Brutus;;0.90
OPTION_FURTIVITE_REELLE;389;SLAMRAAM;;0.90
OPTION_FURTIVITE_REELLE;391;AAVP MICLIC;;1.05
OPTION_FURTIVITE_REELLE;392;LMTV War Pig;;0.90
OPTION_FURTIVITE_REELLE;393;MML;;0.90
OPTION_FURTIVITE_REELLE;394;DT-30AA;;1.05
OPTION_FURTIVITE_REELLE;398;Motostrelki;;0.60
OPTION_FURTIVITE_REELLE;399;Pulemetchiki PKP;;0.60
OPTION_FURTIVITE_REELLE;400;Pulemetchiki Kord;;0.60
OPTION_FURTIVITE_REELLE;401;Shturmoviki;;0.60
OPTION_FURTIVITE_REELLE;402;PTO Metis;;0.60
OPTION_FURTIVITE_REELLE;403;Diversanty ;;0.38
OPTION_FURTIVITE_REELLE;404;Motostrelki Igla;;0.55
OPTION_FURTIVITE_REELLE;405;Ingenery Shturmoviki 2;;0.60
OPTION_FURTIVITE_REELLE;406;SSO 2;;0.45
OPTION_FURTIVITE_REELLE;407;Reserve Marines;;0.70
OPTION_FURTIVITE_REELLE;408;CAAT Javelin;;0.55
OPTION_FURTIVITE_REELLE;409;Rangers CQC;;0.70
OPTION_FURTIVITE_REELLE;410;Rangers RAWS+;;0.60
OPTION_FURTIVITE_REELLE;411;Delta Force 2;;0.60
OPTION_FURTIVITE_REELLE;413;Troopers AA;;0.55
OPTION_FURTIVITE_REELLE;414;TOW-2A;;0.40
OPTION_FURTIVITE_REELLE;415;TOW-2B;;0.40
OPTION_FURTIVITE_REELLE;416;Rangers Javelin;;0.48
OPTION_FURTIVITE_REELLE;417;Spetsnaz GRU AA;;0.45
OPTION_FURTIVITE_REELLE;418;Diversanty RPG;;0.38
OPTION_FURTIVITE_REELLE;419;Gornostrelki ;;0.60
OPTION_FURTIVITE_REELLE;422;2S7M Malka;;1.10
OPTION_FURTIVITE_REELLE;425;BTR-80;;0.90
OPTION_FURTIVITE_REELLE;426;BALT PzH-2000;;1.10
OPTION_FURTIVITE_REELLE;429;BALT M109A5Ö ;;1.10
OPTION_FURTIVITE_REELLE;430;BALT M113;;0.90
OPTION_FURTIVITE_REELLE;431;BALT M1064 Mortar;;0.90
OPTION_FURTIVITE_REELLE;432;BALT Humvee ;;0.80
OPTION_FURTIVITE_REELLE;433;BALT G-Wagen;;0.80
OPTION_FURTIVITE_REELLE;434;BALT Geležinis Vilkas (Mech);;0.60
OPTION_FURTIVITE_REELLE;435;BALT Mehanizētie Kājinieki;;0.70
OPTION_FURTIVITE_REELLE;436;BALT Eesti Kaitseliit (reservists);;0.50
OPTION_FURTIVITE_REELLE;437;BALT Jegeris;;0.45
OPTION_FURTIVITE_REELLE;438;BALT Spike LR team;;0.40
OPTION_FURTIVITE_REELLE;439;BALT Snipers;;0.30
OPTION_FURTIVITE_REELLE;440;BALT Stinger team;;0.40
OPTION_FURTIVITE_REELLE;441;BALT M2 HMG team;;0.50
OPTION_FURTIVITE_REELLE;442;BALT Javelin team;;0.40
OPTION_FURTIVITE_REELLE;443;BALT CV-9035;;1.05
OPTION_FURTIVITE_REELLE;446;2S5 Giatsint;;1.05
OPTION_FURTIVITE_REELLE;448;Patriot PAC-3 MSE;;1.10
OPTION_FURTIVITE_REELLE;449;Combat Engineers;;0.70
OPTION_FURTIVITE_REELLE;450;BMOP Toros;;0.90
OPTION_FURTIVITE_REELLE;453;M10 Booker;;1.10
OPTION_FURTIVITE_REELLE;454;VDV Metis-M1;;0.48
OPTION_FURTIVITE_REELLE;455;UAZ Kozlik;;0.70
OPTION_FURTIVITE_REELLE;457;M1150 Assault Breacher;;1.20
OPTION_FURTIVITE_REELLE;459;PTRK Kornet;;0.40
OPTION_FURTIVITE_REELLE;460;PTRK Kornet-M;;0.40
OPTION_FURTIVITE_REELLE;461;Armata training Target;;1.15
OPTION_FURTIVITE_REELLE;466;S-300PM Favorit;;1.15
OPTION_FURTIVITE_REELLE;468;BALT Eesti Scouts;;0.45
OPTION_FURTIVITE_REELLE;469;BALT Jagu;;0.60
OPTION_FURTIVITE_REELLE;470;Green Berets Flash;;0.38
OPTION_FURTIVITE_REELLE;474;BTR training target;;0.90
OPTION_FURTIVITE_REELLE;476;MT-SM;;1.15
OPTION_FURTIVITE_REELLE;477;BMD-4MK Demidov;;0.90
OPTION_FURTIVITE_REELLE;478;BMD-2K Batalin;;0.90
OPTION_FURTIVITE_REELLE;479;T-90AK Batalin;;1.10
OPTION_FURTIVITE_REELLE;481;BALT Leopard 2A7;;1.20
OPTION_FURTIVITE_REELLE;482;BALT LATVIAN RESERVE;;0.50
OPTION_FURTIVITE_REELLE;483;BALT LITHUANIAN RESERVE;;0.60
OPTION_FURTIVITE_REELLE;487;Vehicle crew;;0.40
OPTION_FURTIVITE_REELLE;488;BALT Leopard 2A7 Train;;1.20
OPTION_FURTIVITE_REELLE;490;ZOM Walkers;;0.70
OPTION_FURTIVITE_REELLE;491;ZOM Runners;;0.60
OPTION_FURTIVITE_REELLE;492;ZOM Spitters;;0.40
OPTION_FURTIVITE_REELLE;493;ZOM Smokers;;0.40
OPTION_FURTIVITE_REELLE;494;ZOM Boomer;;0.40
OPTION_FURTIVITE_REELLE;495;ZOM Thrower;;0.40
OPTION_FURTIVITE_REELLE;496;ZOM Police;;0.50
OPTION_FURTIVITE_REELLE;497;ZOM Civilians;;0.50
OPTION_FURTIVITE_REELLE;498;DLC2 CV-9035;;1.10
OPTION_FURTIVITE_REELLE;499;DLC2 Spartan;;0.90
OPTION_FURTIVITE_REELLE;500;DLC2 Vilkas;;1.10
OPTION_FURTIVITE_REELLE;502;DLC2 M113;;0.90
OPTION_FURTIVITE_REELLE;503;DLC2 Leopard 2A8;;1.20
OPTION_FURTIVITE_REELLE;504;DLC2 E13TP;;1.10
OPTION_FURTIVITE_REELLE;505;DLC2 Rover Defender;;0.80
OPTION_FURTIVITE_REELLE;506;DLC2 Gelezinis Vilkas;;0.60
OPTION_FURTIVITE_REELLE;507;DLC2 KASP;;0.50
OPTION_FURTIVITE_REELLE;508;DLC2 NASAMS;;0.90
OPTION_FURTIVITE_REELLE;510;DLC2 M113 Panzermorser;;0.90
OPTION_FURTIVITE_REELLE;511;DLC2 M109A5O;;1.10
OPTION_FURTIVITE_REELLE;513;DLC2 Jalavae Jagu;;0.60
OPTION_FURTIVITE_REELLE;514;DLC2 Mehanizetie Kajinieki;;0.60
OPTION_FURTIVITE_REELLE;515;DLC2 Eesti Kaitseliit;;0.50
OPTION_FURTIVITE_REELLE;516;DLC2 Zemessardze;;0.50
OPTION_FURTIVITE_REELLE;517;DLC2 ESTSOF;;0.45
OPTION_FURTIVITE_REELLE;518;DLC2 Zaliukai;;0.45
OPTION_FURTIVITE_REELLE;519;DLC2 Milan;;0.40
OPTION_FURTIVITE_REELLE;520;DLC2 Javelin;;0.40
OPTION_FURTIVITE_REELLE;521;DLC2 Spike-LR;;0.40
OPTION_FURTIVITE_REELLE;522;DLC2 Piorun;;0.40
OPTION_FURTIVITE_REELLE;523;DLC2 Grom;;0.40
OPTION_FURTIVITE_REELLE;524;DLC2 RBS 70;;0.40
OPTION_FURTIVITE_REELLE;525;DLC2 Eesti Scouts;;0.45
OPTION_FURTIVITE_REELLE;526;DLC2 Jegeris;;0.45
OPTION_FURTIVITE_REELLE;527;DLC2 SUV;;0.45
OPTION_FURTIVITE_REELLE;528;DLC2 KNT;;0.38
OPTION_FURTIVITE_REELLE;533;DLC2 M2 HMG;;0.50
OPTION_FURTIVITE_REELLE;534;DLC2 GMG;;0.50
OPTION_FURTIVITE_REELLE;535;DLC2 HMMWV;;0.80
OPTION_FURTIVITE_REELLE;538;DLC2 Unimog AA;;0.90
OPTION_FURTIVITE_REELLE;539;DLC2 K9EST ;;1.10
OPTION_FURTIVITE_REELLE;540;DLC2 PzH-2000;;1.15
OPTION_FURTIVITE_REELLE;541;DLC2 G-Wagen;;0.80
OPTION_FURTIVITE_REELLE;542;DLC2 TypeX RCV;;0.90
OPTION_FURTIVITE_REELLE;543;DLC2 Scimitar;;0.90
OPTION_FURTIVITE_REELLE;544;DLC2 HMG GMG;;0.50
OPTION_FURTIVITE_REELLE;545;DLC2 IRIS-T SLM;;1.10
OPTION_FURTIVITE_REELLE;602;DLC3 T-62M;;1.10
OPTION_FURTIVITE_REELLE;604;DLC3 Reservisty;;0.50
OPTION_FURTIVITE_REELLE;610;DLC3 Rosgvardia 2;;0.60
OPTION_FURTIVITE_REELLE;612;DLC3 BARS FireSupport;;0.60
OPTION_FURTIVITE_REELLE;613;DLC3 BARS AA mix;;0.60
OPTION_FURTIVITE_REELLE;615;DLC3 T-72A;;1.10
OPTION_FURTIVITE_REELLE;616;DLC3 BARS RPG;;0.60
OPTION_FURTIVITE_REELLE;622;DLC3 Spetsnaz Vympel RMG;;0.45
OPTION_FURTIVITE_REELLE;623;DLC3 FSB Snaipery 3;;0.30
OPTION_FURTIVITE_REELLE;624;DLC3 Kord ;;0.50
OPTION_FURTIVITE_REELLE;625;DLC3 KPVT;;0.60
OPTION_FURTIVITE_REELLE;626;DLC3 Pogranichniki 2;;0.38
OPTION_FURTIVITE_REELLE;627;DLC3 Shchuka;;0.90
OPTION_FURTIVITE_REELLE;628;DLC3 Uran-9;;0.90
OPTION_FURTIVITE_REELLE;629;DLC3 Reservisty2;;0.50
OPTION_FURTIVITE_REELLE;634;DLC3 KamAZ Tor-M2KM;;1.05
OPTION_FURTIVITE_REELLE;636;DLC3 2S43 Malva;;1.05
OPTION_FURTIVITE_REELLE;637;DLC3 2S44 Giatsint-K;;1.05
OPTION_FURTIVITE_REELLE;638;Mech. Riflemen Dragon;;0.60
