# Broken Arrow Realism Overhaul - optiques par unité, pareil pour les deux camps, écrites sur les copies propres à chaque unité (jamais sur une ligne de capteur partagée avec d'autres unités). OpticsGround des hélicoptères = distance de reconnaissance d'un véhicule par leur viseur (Apache/Mi-28NM 8 km ... transports lourds 1,8 km). Lignes 125/342/417 : Spetsnaz GRU Mix (Verba), STT (Stinger J), Spetsnaz GRU AA (Verba), tous porteurs de missile sol-air, optique anti-aérienne 5 km comme les autres équipes sol-air (lignes 41/42 dans Capteurs.csv). Cellule vide = inchangé. Fichier généré.
Option;UnitId;SensorId;Name;OpticsGround;OpticsLowAltitude;OpticsHighAltitude
OPTION_CAPTEURS_HELICOS;273;1;Ka-29;3000;;
OPTION_CAPTEURS_HELICOS;80;13;MV-22B Osprey;3000;;
OPTION_CAPTEURS_HELICOS;259;13;CV-22B Osprey;3000;;
OPTION_CAPTEURS_HELICOS;80;2;MV-22B Osprey;2500;;
OPTION_CAPTEURS_HELICOS;259;2;CV-22B Osprey;2500;;
OPTION_CAPTEURS_HELICOS;81;4;UH-60M Blackhawk;2000;;
OPTION_CAPTEURS_HELICOS;428;4;BALT UH-60M;2000;;
OPTION_CAPTEURS_HELICOS;531;4;DLC2 UH-60M;2000;;
OPTION_CAPTEURS_HELICOS;266;2;Mi-8MTV-2 Pchela;2000;;
OPTION_CAPTEURS_HELICOS;7;2;Mi-8MTV-5 Zeleniy;2000;;
OPTION_CAPTEURS_HELICOS;532;2;DLC2 AS-365 Dauphin;2000;;
OPTION_CAPTEURS_HELICOS;275;2;CH-53K King Stallion;2000;;
OPTION_CAPTEURS_HELICOS;79;4;MH-6 Little Bird;2000;;
OPTION_CAPTEURS_HELICOS;17;4;CH-47 Chinook;1800;;
OPTION_CAPTEURS_HELICOS;153;4;CH-53E Super Stallion;1800;;
OPTION_CAPTEURS_HELICOS;261;4;Mi-26 Korova;1800;;
OPTION_CAPTEURS_HELICOS;268;4;Mi-38T;1800;;
OPTION_CAPTEURS_HELICOS;257;4;DLC3 KA-60;1800;;
OPTION_CAPTEURS_HELICOS;258;4;DLC3 KA-226;1800;;
OPTION_CAPTEURS_HELICOS;611;4;DLC3 KA-226 Cargo;1800;;
OPTION_OPTIQUE_MANPAD;125;43;Spetsnaz GRU Mix;;5000;5000
OPTION_OPTIQUE_MANPAD;342;43;STT;;5000;5000
OPTION_OPTIQUE_MANPAD;417;43;Spetsnaz GRU AA;;5000;5000
# OPTION_CAPTEURS_SOL_REELS : exceptions par unité à la valeur par défaut de la ligne de capteur (Capteurs.csv) : chars et véhicules selon leur viseur thermique (1re génération 2,5 km ; Sosna-U et équivalents 3,2 km ; T-90M 3,5 km ; ATTICA, Abrams SEP v3, Leopard 2A8, M10 Booker 5 km), tourelles téléopérées à caméra thermique 3 km, équipes antichars selon leur viseur (jour 2 km ; thermique Kornet, Metis-M, Javelin, Spike 2,5 km ; TOW-2B 3 km ; Kornet-M 3,5 km), forces spéciales 2,5 km, reconnaissance à optique et télémètre 4,5 km, à radar 6 km. Quand plusieurs variantes d'une unité partagent la même ligne de capteur, la valeur de la majorité de ces variantes s'applique. Identique pour les deux camps. Fichier généré.
OPTION_CAPTEURS_SOL_REELS;191;1;M1A2 SEP v3;5000;;
OPTION_CAPTEURS_SOL_REELS;503;1;DLC2 Leopard 2A8;5000;;
OPTION_CAPTEURS_SOL_REELS;209;1;BRM-3K;6000;;
OPTION_CAPTEURS_SOL_REELS;195;1;DLC3 Tigr BRShM ;4500;;
OPTION_CAPTEURS_SOL_REELS;217;1;BRDM-3;4500;;
OPTION_CAPTEURS_SOL_REELS;237;1;T-90M Razvedchik;3500;;
OPTION_CAPTEURS_SOL_REELS;543;1;DLC2 Scimitar;3200;;
OPTION_CAPTEURS_SOL_REELS;136;1;DLC3 Spetsnaz Vympel CQC;2500;;
OPTION_CAPTEURS_SOL_REELS;622;1;DLC3 Spetsnaz Vympel RMG;2500;;
OPTION_CAPTEURS_SOL_REELS;346;1;Spetsnaz GRU AT;2500;;
OPTION_CAPTEURS_SOL_REELS;35;1;M1117 Guardian;2500;;
OPTION_CAPTEURS_SOL_REELS;173;1;BRDM-2M;2000;;
OPTION_CAPTEURS_SOL_REELS;210;1;2S31 Vena;2000;;
OPTION_CAPTEURS_SOL_REELS;221;1;ZSU-23-4 Shilka;2000;;
OPTION_CAPTEURS_SOL_REELS;151;2;Kornet-D1;3500;;
OPTION_CAPTEURS_SOL_REELS;197;2;DLC3 Tigr Kornet;3500;;
OPTION_CAPTEURS_SOL_REELS;213;2;Kornet-T;3500;;
OPTION_CAPTEURS_SOL_REELS;498;2;DLC2 CV-9035;3200;;
OPTION_CAPTEURS_SOL_REELS;445;2;BALT Scimitar;3200;;
OPTION_CAPTEURS_SOL_REELS;479;2;T-90AK Batalin;3200;;
OPTION_CAPTEURS_SOL_REELS;212;2;BT-3F;3000;;
OPTION_CAPTEURS_SOL_REELS;22;2;Stryker ICV;3000;;
OPTION_CAPTEURS_SOL_REELS;33;2;Stryker ESV;3000;;
OPTION_CAPTEURS_SOL_REELS;41;2;M1283 AMPV;3000;;
OPTION_CAPTEURS_SOL_REELS;96;2;DLC3 Typhoon-K;3000;;
OPTION_CAPTEURS_SOL_REELS;23;2;Typhoon VDV;3000;;
OPTION_CAPTEURS_SOL_REELS;194;2;DLC3 Tigr;3000;;
OPTION_CAPTEURS_SOL_REELS;180;2;ACV;3000;;
OPTION_CAPTEURS_SOL_REELS;253;2;K16 Bumerang;3000;;
OPTION_CAPTEURS_SOL_REELS;254;2;B10 Kurganets;3000;;
OPTION_CAPTEURS_SOL_REELS;438;2;BALT Spike LR team;2500;;
OPTION_CAPTEURS_SOL_REELS;442;2;BALT Javelin team;2500;;
OPTION_CAPTEURS_SOL_REELS;172;2;BTR-RD Robot;2500;;
OPTION_CAPTEURS_SOL_REELS;25;2;Stryker ATGM;2500;;
OPTION_CAPTEURS_SOL_REELS;30;2;LAV-AT;2500;;
OPTION_CAPTEURS_SOL_REELS;6;2;Humvee TOW-2;2500;;
OPTION_CAPTEURS_SOL_REELS;541;2;DLC2 G-Wagen;2500;;
OPTION_CAPTEURS_SOL_REELS;15;2;M2A2 Bradley;2500;;
OPTION_CAPTEURS_SOL_REELS;386;2;M2A2 Bradley ESV;2500;;
OPTION_CAPTEURS_SOL_REELS;187;2;M901A3;2500;;
OPTION_CAPTEURS_SOL_REELS;239;2;T-80U;2500;;
OPTION_CAPTEURS_SOL_REELS;53;2;M1A1 HC;2500;;
OPTION_CAPTEURS_SOL_REELS;182;2;M551A1 Sheridan;2500;;
OPTION_CAPTEURS_SOL_REELS;457;2;M1150 Assault Breacher;2500;;
OPTION_CAPTEURS_SOL_REELS;37;3;M3A3 CFV;4500;;
OPTION_CAPTEURS_SOL_REELS;28;3;M7 BFIST;4500;;
OPTION_CAPTEURS_SOL_REELS;384;3;1V119 Reostat;4500;;
OPTION_CAPTEURS_SOL_REELS;458;3;1V14 Mashina-S;4500;;
OPTION_CAPTEURS_SOL_REELS;328;3;Forpost;3500;;
OPTION_CAPTEURS_SOL_REELS;447;3;RQ-7 Shadow;3500;;
OPTION_CAPTEURS_SOL_REELS;2;3;M1A2 SEP v2 TUA;3200;;
OPTION_CAPTEURS_SOL_REELS;138;3;PDSS;3000;;
OPTION_CAPTEURS_SOL_REELS;403;3;Diversanty ;3000;;
OPTION_CAPTEURS_SOL_REELS;437;3;BALT Jegeris;3000;;
OPTION_CAPTEURS_SOL_REELS;472;3;Partisan;2000;;
OPTION_CAPTEURS_SOL_REELS;487;4;Vehicle crew;1000;;
OPTION_CAPTEURS_SOL_REELS;215;5;BRM-1K;6000;;
OPTION_CAPTEURS_SOL_REELS;186;5;M981 FISTV;4500;;
OPTION_CAPTEURS_SOL_REELS;473;5;Green Light Team;3000;;
OPTION_CAPTEURS_SOL_REELS;188;7;M163 PIVADS;2500;;
OPTION_CAPTEURS_SOL_REELS;196;7;DLC3 Tigr Gibka;2000;;
OPTION_CAPTEURS_SOL_REELS;202;7;MT-LB Strela;2000;;
OPTION_CAPTEURS_SOL_REELS;222;7;Ural-4320 ZU-23;2000;;
OPTION_CAPTEURS_SOL_REELS;250;7;Centurion C-RAM;2000;;
OPTION_CAPTEURS_SOL_REELS;389;7;SLAMRAAM;2000;;
OPTION_CAPTEURS_SOL_REELS;393;7;MML;2000;;
OPTION_CAPTEURS_SOL_REELS;508;7;DLC2 NASAMS;2000;;
OPTION_CAPTEURS_SOL_REELS;167;13;DLC3 Chaborz M-6;3500;;
OPTION_CAPTEURS_SOL_REELS;29;13;LAV-25;3200;;
OPTION_CAPTEURS_SOL_REELS;152;13;Sarmat-2;2500;;
OPTION_CAPTEURS_SOL_REELS;509;13;DLC2 TGB-1111;2500;;
OPTION_CAPTEURS_SOL_REELS;455;13;UAZ Kozlik;2000;;
OPTION_CAPTEURS_SOL_REELS;217;14;BRDM-3;4500;;
OPTION_CAPTEURS_SOL_REELS;329;14;Korsar;3500;;
OPTION_CAPTEURS_SOL_REELS;173;14;BRDM-2M;2000;;
OPTION_CAPTEURS_SOL_REELS;458;15;1V14 Mashina-S;5000;;
OPTION_CAPTEURS_SOL_REELS;195;15;DLC3 Tigr BRShM ;4500;;
OPTION_CAPTEURS_SOL_REELS;142;17;BTR-MDM ;2000;;
OPTION_CAPTEURS_SOL_REELS;200;17;MT-LB SPAAG;2000;;
OPTION_CAPTEURS_SOL_REELS;206;17;BTR-ZD Skrezhet;2000;;
OPTION_CAPTEURS_SOL_REELS;433;17;BALT G-Wagen;2000;;
OPTION_CAPTEURS_SOL_REELS;220;18;DLC3 BPM-97 Strela;2000;;
OPTION_CAPTEURS_SOL_REELS;222;18;Ural-4320 ZU-23;2000;;
OPTION_CAPTEURS_SOL_REELS;538;18;DLC2 Unimog AA;2000;;
OPTION_CAPTEURS_SOL_REELS;329;20;Korsar;5000;;
OPTION_CAPTEURS_SOL_REELS;255;23;T-15 Barbaris;5000;;
OPTION_CAPTEURS_SOL_REELS;498;23;DLC2 CV-9035;5000;;
OPTION_CAPTEURS_SOL_REELS;444;23;BALT Vilkas;5000;;
OPTION_CAPTEURS_SOL_REELS;500;23;DLC2 Vilkas;5000;;
OPTION_CAPTEURS_SOL_REELS;542;23;DLC2 TypeX RCV;5000;;
OPTION_CAPTEURS_SOL_REELS;453;23;M10 Booker;5000;;
OPTION_CAPTEURS_SOL_REELS;481;23;BALT Leopard 2A7;5000;;
OPTION_CAPTEURS_SOL_REELS;352;23;VDV Kornet-M;3500;;
OPTION_CAPTEURS_SOL_REELS;460;23;PTRK Kornet-M;3500;;
OPTION_CAPTEURS_SOL_REELS;151;23;Kornet-D1;3500;;
OPTION_CAPTEURS_SOL_REELS;197;23;DLC3 Tigr Kornet;3500;;
OPTION_CAPTEURS_SOL_REELS;252;23;BRDM ATGM;3500;;
OPTION_CAPTEURS_SOL_REELS;238;23;T-90M;3500;;
OPTION_CAPTEURS_SOL_REELS;16;23;M2A3 Bradley;3200;;
OPTION_CAPTEURS_SOL_REELS;26;23;M2A3 Bradley ESV;3200;;
OPTION_CAPTEURS_SOL_REELS;208;23;BMP-3F;3200;;
OPTION_CAPTEURS_SOL_REELS;3;23;BMP-3;3200;;
OPTION_CAPTEURS_SOL_REELS;253;23;K16 Bumerang;3200;;
OPTION_CAPTEURS_SOL_REELS;254;23;B10 Kurganets;3200;;
OPTION_CAPTEURS_SOL_REELS;383;23;BTR-90;3200;;
OPTION_CAPTEURS_SOL_REELS;443;23;BALT CV-9035;3200;;
OPTION_CAPTEURS_SOL_REELS;89;23;BMD-4M;3200;;
OPTION_CAPTEURS_SOL_REELS;477;23;BMD-4MK Demidov;3200;;
OPTION_CAPTEURS_SOL_REELS;24;23;Stryker MGS;3200;;
OPTION_CAPTEURS_SOL_REELS;157;23;T-72B3;3200;;
OPTION_CAPTEURS_SOL_REELS;703;23;T-72B3A;3200;;
OPTION_CAPTEURS_SOL_REELS;158;23;T-80BV;3200;;
OPTION_CAPTEURS_SOL_REELS;239;23;T-80U;2500;;
OPTION_CAPTEURS_SOL_REELS;244;23;M1A2 SEP;3200;;
OPTION_CAPTEURS_SOL_REELS;243;23;M1A2 SEP v2;3200;;
OPTION_CAPTEURS_SOL_REELS;54;23;M1A1 FEP;3200;;
OPTION_CAPTEURS_SOL_REELS;183;23;M8 AGS;3200;;
OPTION_CAPTEURS_SOL_REELS;343;23;CAAT TOW-2B Saber;3000;;
OPTION_CAPTEURS_SOL_REELS;415;23;TOW-2B;3000;;
OPTION_CAPTEURS_SOL_REELS;25;23;Stryker ATGM;3000;;
OPTION_CAPTEURS_SOL_REELS;30;23;LAV-AT;3000;;
OPTION_CAPTEURS_SOL_REELS;6;23;Humvee TOW-2;3000;;
OPTION_CAPTEURS_SOL_REELS;1;23;BTR-82;3000;;
OPTION_CAPTEURS_SOL_REELS;214;23;BMP-2;3000;;
OPTION_CAPTEURS_SOL_REELS;90;23;BMD-2;3000;;
OPTION_CAPTEURS_SOL_REELS;230;23;PT-76;3000;;
OPTION_CAPTEURS_SOL_REELS;110;23;VDV Kornet;2500;;
OPTION_CAPTEURS_SOL_REELS;459;23;PTRK Kornet;2500;;
OPTION_CAPTEURS_SOL_REELS;132;23;VDV Metis-M;2500;;
OPTION_CAPTEURS_SOL_REELS;454;23;VDV Metis-M1;2500;;
OPTION_CAPTEURS_SOL_REELS;402;23;PTO Metis;2500;;
OPTION_CAPTEURS_SOL_REELS;355;23;PTRK Faktoriya;2500;;
OPTION_CAPTEURS_SOL_REELS;408;23;CAAT Javelin;2500;;
OPTION_CAPTEURS_SOL_REELS;416;23;Rangers Javelin;2500;;
OPTION_CAPTEURS_SOL_REELS;520;23;DLC2 Javelin;2500;;
OPTION_CAPTEURS_SOL_REELS;521;23;DLC2 Spike-LR;2500;;
OPTION_CAPTEURS_SOL_REELS;519;23;DLC2 Milan;2500;;
OPTION_CAPTEURS_SOL_REELS;147;23;CAAT TOW-2A;2500;;
OPTION_CAPTEURS_SOL_REELS;414;23;TOW-2A;2500;;
OPTION_CAPTEURS_SOL_REELS;130;23;SSO;2500;;
OPTION_CAPTEURS_SOL_REELS;406;23;SSO 2;2500;;
OPTION_CAPTEURS_SOL_REELS;131;23;DLC3 Spetsnaz Alpha;2500;;
OPTION_CAPTEURS_SOL_REELS;354;23;DLC3 Spetsnaz Alpha 2;2500;;
OPTION_CAPTEURS_SOL_REELS;150;23;Delta Force;2500;;
OPTION_CAPTEURS_SOL_REELS;411;23;Delta Force 2;2500;;
OPTION_CAPTEURS_SOL_REELS;359;23;Marine Raiders AT;2500;;
OPTION_CAPTEURS_SOL_REELS;70;23;Marine Raiders CQC;2500;;
OPTION_CAPTEURS_SOL_REELS;517;23;DLC2 ESTSOF;2500;;
OPTION_CAPTEURS_SOL_REELS;518;23;DLC2 Zaliukai;2500;;
OPTION_CAPTEURS_SOL_REELS;29;23;LAV-25;2500;;
OPTION_CAPTEURS_SOL_REELS;245;23;M1A2 Abrams;2500;;
OPTION_CAPTEURS_SOL_REELS;602;23;DLC3 T-62M;2500;;
OPTION_CAPTEURS_SOL_REELS;173;26;BRDM-2M;3000;;
OPTION_CAPTEURS_SOL_REELS;213;28;Kornet-T;5000;;
OPTION_CAPTEURS_SOL_REELS;23;28;Typhoon VDV;3200;;
OPTION_CAPTEURS_SOL_REELS;499;28;DLC2 Spartan;2500;;
OPTION_CAPTEURS_SOL_REELS;541;28;DLC2 G-Wagen;2500;;
# OPTION_CAPTEUR_DEDIE : viseurs dédiés : T-14 Armata 5 km ; T-90A, BMPT Terminator et Uran-9 3,2 km. Identique pour les deux camps. Fichier généré.
OPTION_CAPTEUR_DEDIE;13;1;T-14 Armata;5000;;
OPTION_CAPTEUR_DEDIE;236;23;T-90;3200;;
OPTION_CAPTEUR_DEDIE;240;23;BMPT Terminator;3200;;
OPTION_CAPTEUR_DEDIE;628;23;DLC3 Uran-9;3200;;
# OPTION_RADAR_COURTE_PORTEE : radar de conduite de tir des défenses antiaériennes courte portée (Pantsir, Tor, Tor-M2KM, Tunguska-M, DT-30AA) : aéronefs vus à 9 km (bord de la carte). Identique pour les deux camps. Fichier généré.
OPTION_RADAR_COURTE_PORTEE;12;18;DLC3 Pantsir S1;;9000;9000
OPTION_RADAR_COURTE_PORTEE;31;7;Tor;;9000;9000
OPTION_RADAR_COURTE_PORTEE;233;7;2K22M Tunguska-M;;9000;9000
OPTION_RADAR_COURTE_PORTEE;394;7;DT-30AA;;9000;9000
OPTION_RADAR_COURTE_PORTEE;634;18;DLC3 KamAZ Tor-M2KM;;9000;9000
