# Broken Arrow Realism Overhaul - vraies stats : munitions transportées par unité. Fichier généré.
Option;UnitId;WeaponId;AmmunitionId;Quantity
;162;233;281;27
;234;331;236;36
;234;330;237;36
;247;344;261;28
;247;344;426;2
;247;568;425;27
;382;290;416;55
;382;558;450;80
;10;16;18;8
;10;26;18;8
;12;19;60;93
;20;17;166;2
;34;34;32;99
;196;273;97;8
;196;1014;127;8
;202;281;181;12
;221;308;212;167
;233;327;231;127
;233;19;60;127
;8;8;10;240
;19;8;10;240
;100;100;78;59
;102;102;79;45
;256;350;564;21
;256;350;563;42
;263;102;79;45
;269;100;78;59
;270;8;10;240
;364;552;164;4
;364;561;457;100
;380;350;564;21
;380;350;563;42
;168;241;90;18
OPTION_ARMES_IRREALISTES;291;679;533;0
OPTION_ARMES_IRREALISTES;297;391;296;0
OPTION_ARMES_IRREALISTES;297;392;297;0
OPTION_ARMES_IRREALISTES;297;655;502;0
OPTION_ARMES_IRREALISTES;308;358;271;0
OPTION_ARMES_IRREALISTES;308;447;317;0
OPTION_ARMES_IRREALISTES;308;441;313;0
OPTION_ARMES_IRREALISTES;308;232;148;0
OPTION_ARMES_IRREALISTES;308;444;314;0
;313;483;333;25
;103;961;47;8
OPTION_RETIRER_AIR_AIR;103;354;403;0
OPTION_RETIRER_AIR_AIR;103;113;59;0
;280;485;334;3
OPTION_RETIRER_ARMES_IRREALISTES;293;417;304;0
OPTION_RETIRER_ARMES_IRREALISTES;293;1002;902;0
OPTION_RETIRER_ARMES_IRREALISTES;293;416;303;0
;300;429;302;20
OPTION_RETIRER_ARMES_IRREALISTES;300;417;304;0
;300;430;303;12
OPTION_RETIRER_ARMES_IRREALISTES;301;392;306;0
;303;433;744;10
;316;474;157;4
;316;468;329;4
;331;943;337;8
;362;958;47;2
OPTION_RETIRER_ARMES_D_ESSAI;362;553;402;0
OPTION_RETIRER_ARMES_D_ESSAI;362;354;403;0
;363;958;47;2
;363;354;403;8
OPTION_RETIRER_ARMES_NON_CITEES;363;553;402;0
;374;588;441;16
;402;154;102;4
;402;635;102;4
;9;9;11;6
;9;9;54;10
;9;9;356;3
;9;9;72;3
;9;349;264;6
;9;349;265;10
;9;349;532;3
;9;349;125;3
;9;516;11;7
;9;516;54;11
;9;516;356;4
;144;197;124;7
;144;197;126;9
;144;197;532;3
;144;197;125;3
;144;586;141;7
;144;586;142;9
;144;586;532;3
;144;586;125;3
;157;221;239;6
;157;221;140;10
;157;221;532;3
;157;221;125;3
;157;1023;139;6
;157;1023;140;10
;157;1023;532;3
;157;1023;125;3
;158;222;141;8
;158;222;142;13
;158;222;532;4
;158;222;125;3
;158;334;246;10
;158;334;247;14
;158;334;541;4
;236;332;238;6
;236;332;240;10
;236;332;532;3
;236;332;125;3
;236;333;239;6
;236;333;241;10
;236;333;532;3
;236;333;125;3
;237;333;242;6
;237;333;243;10
;237;333;244;3
;237;333;245;3
;238;333;242;6
;238;333;243;10
;238;333;244;3
;238;333;245;3
;239;335;248;8
;239;335;249;13
;239;335;532;4
;239;335;125;3
;239;336;248;8
;239;336;249;13
;239;336;532;4
;239;336;250;3
;239;337;239;8
;239;337;241;13
;239;337;532;4
;239;337;250;3
;615;913;11;7
;615;913;54;11
;703;221;239;6
;703;221;140;10
;703;221;532;3
;703;221;125;3
;703;1023;139;6
;703;1023;140;10
;703;1023;532;3
;703;1023;125;3
;180;21;50;96
;215;575;435;7
;215;575;436;13
;156;220;138;8
;156;307;211;4
;163;236;154;8
;163;238;154;4
;225;315;216;24
;225;685;217;24
;227;319;220;8
;227;320;217;32
;231;323;225;8
;251;347;263;32
;251;366;263;16
;448;346;497;24
;448;651;497;16
;448;650;497;8
;466;690;547;8
;466;691;548;8
;545;784;618;16
;545;783;618;8
;298;408;302;0
;298;391;296;0
;298;392;297;0
;298;417;304;0
;299;1001;901;0
;328;247;352;0
;331;940;335;0
;331;939;336;0
;379;602;460;0
;379;601;319;0
;379;600;755;0
;379;490;756;0
;379;491;757;0
;633;437;921;0
;633;434;920;0
;633;633;923;0
;633;472;924;0
