# Broken Arrow Realism Overhaul - dégâts selon le calibre : blindage cinétique minimum par classe. Chars lourds flancs 160, arrière 150, toit 150 (HEAT arrière et toit 100) ; Bradley, AMPV, CV90, Boxer 121 avant, flancs et arrière ; Stryker avant 121, reste 41 ; VCI et chars légers avant 81, flancs et arrière 41 ; blindés légers avant 41, flancs et arrière 35. '>=' = au moins cette valeur : un blindage déjà plus épais n'est jamais réduit. Identique pour les deux camps. Option coupable : OPTION_DEGATS_CALIBRE. Fichier généré.
Option;Id;Name;KinArmorFront;KinArmorSides;KinArmorRear;KinArmorTop;HeatArmorRear;HeatArmorTop
OPTION_DEGATS_CALIBRE;149;Armor M113A3 SLAT;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;151;Armor M1A2C;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;152;Armor M1A2C TUSK1;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;153;Armor M1A2C TUSK2;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;154;Armor M1A2C TUSK2 Trophy;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;155;Armor M1A2C TUSK1 Trophy;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;156;Armor M1A2C Trophy;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;159;Armor Tigr Armored;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;160;Armor TOS1 Base;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;161;Armor TOS1 Armored;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;162;Armor MTLB;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;163;Armor MTLB Armored;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;164;Armor BMP3 Armored;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;165;Armor BMP2 Base;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;166;Armor BMP2 SLAT;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;167;Armor BTR80 Armored;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;168;Armor BPM97;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;169;Armor ZSU234 Shilka V1;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;178;Armor PT76 Base;;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;179;Armor PT76 Armored;;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;180;Armor KoalistiyaSV;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;181;Armor Akatsiya;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;182;Armor BMOT Base;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;183;Armor BMOT ERA;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;184;Armor T90M Base;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;185;Armor T90A;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;186;Armor T90M Armored;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;187;Armor T80BVM 2018;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;188;Armor T80BVM 2018 ERA;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;189;Armor T80U;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;190;Armor M1A2SEP2 TUA;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;191;Armor M1A2SEP2 Trophy;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;192;Armor M1A2SEP2 TUSK1;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;193;Armor M1A2SEP2 TUSK1 Trophy;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;194;Armor M1A2SEP2 TUSK2 ;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;195;Armor M1A2SEP2 TUSK2 Trophy;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;196;Armor M1A2SEP2;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;197;Armor M1A2SEP1;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;198;Armor M1A2;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;199;Armor M1A2SEP1 TUSK1;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;200;Armor M1A2 TUSK1 ;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;201;Armor M1A2SEP1 TUSK2 ;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;202;Armor M1A2 TUSK2;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;204;Armor T72BA;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;206;Armor T72B3M Obr16;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;207;Armor T72B3M Obr16 ERA;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;208;Armor T72B3AM Obr16 Arena;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;209;Armor T72B3AM Obr16 ERA Arena;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;210;Armor Bumerang K16;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;211;Armor Bumerang K16 Armored;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;212;Armor Kurganets B10;;;;>=41;;
OPTION_DEGATS_CALIBRE;247;Armor ZSU234 Shilka V2;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;252;Armor M1A1FEP Base;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;253;Armor M1A1FEP TUSK;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;254;Armor M8AGS Applique;;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;255;Armor M8AGS Applique Trophy;;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;258;Armor KoalistiyaSV Radar;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;259;Armor Bumerang K16 Armored APS;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;260;Armor Bumerang K16 APS;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;261;Armor BMPT Armored ;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;262;Armor BMPT Base ;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;264;Armor BMP1 Base;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;265;Armor BMP1 Armored;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;266;Armor T80UA;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;267;Armor T90M Base Arena;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;268;Armor T90M Armored Arena;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;285;Armor BTR90 Base ;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;286;Armor BTR90 Armored;>=81;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;288;Armor Bradley BUSK3;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;294;Armor AAVP7A1 SU;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;295;Armor XA180;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;299;Armor Malka Base;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;301;Armor Stryker SRAT Trophy;>=121;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;302;Armor M60A1 M728;;>=160;>=150;>=150;>=100;>=100
OPTION_DEGATS_CALIBRE;304;Armor MTLBU;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;305;Armor MTLBU Armored;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;308;Armor ACV Armored;>=81;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;309;Armor M1ABV;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;310;Armor M1ABV Armored;;;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;311;Armor Armata T14 21;;;>=150;>=150;;
OPTION_DEGATS_CALIBRE;313;Armor MATV Armored;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;315;Armor UR77 Cage;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;317;Armor T90AK;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;321;Armor AMPV ArmoredAPS;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;322;Armor AMPV MC BUSK APS;>=121;>=121;>=121;;;
OPTION_DEGATS_CALIBRE;325;Armor CV9035 Base;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;326;Armor FV107 Scimitar;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;327;Armor Vilkas Boxer;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;328;Armor Leopard2A8;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;329;Armor Leopard2A8 PSO;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;330;Armor Leopard2A8 Trophy;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;336;Armor FV107 Scimitar Armored;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;340;Armor PZH2000;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;341;Armor TypeX RCV MRCV;>=81;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;342;Armor CV9035 Armored;;>=121;>=121;;;
OPTION_DEGATS_CALIBRE;346;Armor K9 howitzer;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;401;Armor T62M;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;415;Armor T62MV;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;416;Armor T62MV 22;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;419;Armor T72A;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;420;Armor T72AV ;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;422;Armor Shchuka;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;423;Armor Uran9;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;424;Armor Uran9 Helper Shmel6;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;425;Armor Uran9 Helper Shmel12;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;426;Armor Uran9 Helper Igla;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;506;Armor T72B3A K5;;>=160;>=150;>=150;;
